target pageflip timestamp,pageflip timestamp,render start,render end,safety margin,refresh duration,vrr,tearing,predicted render time
8033933011976,8034001081000,8033955637039,8033966329314,20755809,16666666,0,0,0
8033999678640,8034034497000,8033992227920,8034000647728,29940121,16666666,0,0,0
8034034417666,8034051204000,8034007159477,8034007230083,32303797,16668333,0,0,32076825
8034084540666,8034101328000,8034053670482,8034060858140,33353326,16668333,0,0,31396801
8034117877332,8034134744000,8034088376521,8034093569116,33014400,16668333,0,0,31396801
8034151332999,8034168160000,8034122164342,8034128837961,33800247,16668333,0,0,30918610
8034184748999,8034201576000,8034156096683,8034159831342,33524415,16668333,0,0,30487587
8034218164999,8034234993000,8034190415845,8034195240344,33730198,16668333,0,0,30177174
8034251580999,8034268407000,8034224376739,8034226833910,33694826,16668333,0,0,29683955
8034284997999,8034285116000,8034258780470,8034261704329,24315130,16668333,0,0,29289428
8034318452666,8034318530000,8034293478824,8034296301279,23027849,16668333,0,0,28519231
8034351866666,8034351947000,8034327516202,8034330376522,22163409,16668333,0,0,28051224
8034368534999,8034385363000,8034351931269,8034357631822,27452828,16668333,0,0,28051224
8034385283666,8034468904000,8034358262361,8034360344361,101037934,16668333,0,0,27610027
8034552046330,8034552439000,8034521557385,8034525054903,26753303,16668333,0,0,27381228
8034568913998,8034585858000,8034552028180,8034555010903,22154637,16668333,0,0,26225655
8034585775666,8034602564000,8034555194045,8034566383001,33471310,16668333,0,0,25456953
8034619194666,8034619275000,8034586035360,8034591591243,27402066,16668333,0,0,25149529
8034635900666,8034635984000,8034602839956,8034609055907,26234986,16668333,0,0,25307222
8034652611666,8034652690000,8034623617640,8034629185032,22796699,16668333,0,0,25240445
8034686026666,8034686104000,8034658051261,8034664173866,21159589,16668333,0,0,25131951
8034719440666,8034719521000,8034692567394,8034698975821,19590438,16668333,0,0,25040437
8034752857666,8034752940000,8034726560004,8034733363416,19108575,16668333,0,0,24970753
8034786276666,8034803058000,8034761129262,8034775520264,26561542,16668333,0,0,24929974
8034819613332,8034819768000,8034795702741,8034799482447,20241548,16668333,0,0,24929974
8034853104666,8034853182000,8034829723472,8034833736048,19366529,16668333,0,0,25594752
8034886518666,8034886600000,8034864317100,8034868867187,17104469,16668333,0,0,25306232
8034919936666,8034936722000,8034899401826,8034904340244,32302166,16668333,0,0,25066461
8034953273332,8034970140000,8034933511141,8034940452084,29774021,16668333,0,0,25066461
8034986726999,8035020265000,8034967461931,8034981794690,31606060,16668333,0,0,24760217
